,24hr growth,link,logo,marketcap,name,price,symbol,time,trading volume
24,0.05,/currencies/multi-collateral-dai,,971625394,Dai,1.01,DAI,20201110182739,74360247
25,23.32,/currencies/aave,,778782151,Aave,66.84,AAVE,20201110182739,430086647
26,2.77,/currencies/huobi-token,,754088794,Huobi Token,3.64,HT,20201110182739,74461324
27,4.88,/currencies/vechain,,743789186,VeChain,0.011565,VET,20201110182739,108182182
28,1.53,/currencies/iota,,707673045,IOTA,0.254602,MIOTA,20201110182739,10301674
29,1.66,/currencies/dash,,676997657,Dash,69.03,DASH,20201110182739,363938403
30,13.60,/currencies/uniswap,,665678899,Uniswap,3.06,UNI,20201110182739,514444827
31,0.84,/currencies/theta,,645241033,THETA,0.645241,THETA,20201110182739,19730458
32,2.38,/currencies/zcash,,628831161,Zcash,60.20,ZEC,20201110182739,376712685
33,0.00,/currencies/binance-usd,,619952002,Binance USD,0.999900,BUSD,20201110182739,443255593
34,2.31,/currencies/ethereum-classic,,597495233,Ethereum Classic,5.14,ETC,20201110182739,660693567
35,5.97,/currencies/maker,,555855367,Maker,554.11,MKR,20201110182739,32139488
36,21.19,/currencies/yearn-finance,,549268528,yearn.finance,18328.68,YFI,20201110182739,777708337
37,13.56,/currencies/synthetix-network-token,,502218479,Synthetix,4.77,SNX,20201110182739,71653639
38,3.06,/currencies/celsius,,458040828,Celsius,1.92,CEL,20201110182739,2955275
39,2.64,/currencies/omg,,450133124,OMG Network,3.21,OMG,20201110182739,127348463
40,7.95,/currencies/compound,,424781592,Compound,102.58,COMP,20201110182739,116892018
41,7.25,/currencies/uma,,413135377,UMA,7.45,UMA,20201110182739,11333550
42,0.64,/currencies/waves,,396507510,Waves,3.83,WAVES,20201110182739,47561285
43,2.69,/currencies/ontology,,374175767,Ontology,0.480593,ONT,20201110182739,78256111
44,3.51,/currencies/dogecoin,,351431351,Dogecoin,0.002766,DOGE,20201110182739,39243823
45,3.44,/currencies/ftx-token,,345473702,FTX Token,3.66,FTT,20201110182739,4696971
46,9.48,/currencies/algorand,,324127542,Algorand,0.287993,ALGO,20201110182739,64971931
47,4.89,/currencies/basic-attention-token,,302493857,Basic Attention Token,0.202369,BAT,20201110182739,115145344
48,6.93,/currencies/ren,,299628770,Ren,0.338743,REN,20201110182739,68573651
49,2.18,/currencies/kusama,,294010210,Kusama,34.71,KSM,20201110182739,33134329
50,0.41,/currencies/bittorrent,,289578086,BitTorrent,0.000293,BTT,20201110182739,48289229
51,1.65,/currencies/hedgetrade,,294494713,HedgeTrade,0.868123,HEDG,20201110182739,446127
52,0.04,/currencies/husd,,288057497,HUSD,0.999729,HUSD,20201110182739,29169917
53,10.53,/currencies/0x,,287468718,0x,0.386415,ZRX,20201110182739,48024441
54,3.87,/currencies/digibyte,,277556988,DigiByte,0.020210,DGB,20201110182739,6969818
55,0.30,/currencies/okb,,277373451,OKB,4.62,OKB,20201110182739,47359081
56,0.01,/currencies/trueusd,,273077202,TrueUSD,0.999762,TUSD,20201110182739,82691585
57,53.31,/currencies/loopring,,254585363,Loopring,0.222204,LRC,20201110182739,39952057
58,0.04,/currencies/paxos-standard,,244285583,Paxos Standard,0.997280,PAX,20201110182739,144611549
59,2.83,/currencies/ocean-protocol,,240455490,Ocean Protocol,0.580773,OCEAN,20201110182739,30930970
60,0.73,/currencies/energy-web-token,,234638643,Energy Web Token,7.81,EWT,20201110182739,763467
61,5.66,/currencies/zilliqa,,214925939,Zilliqa,0.020235,ZIL,20201110182739,22937440
62,0.94,/currencies/abbc-coin,,205041566,ABBC Coin,0.271021,ABBC,20201110182739,43730089
63,2.72,/currencies/icon,,196869293,ICON,0.344121,ICX,20201110182739,13108826
64,0.52,/currencies/qtum,,195074415,Qtum,2.00,QTUM,20201110182739,270026220
65,3.61,/currencies/celo,,190866928,Celo,1.53,CELO,20201110182739,2536371
66,4.01,/currencies/hedera-hashgraph,,189454622,Hedera Hashgraph,0.031500,HBAR,20201110182739,11839892
67,5.73,/currencies/decred,,189446639,Decred,15.49,DCR,20201110182739,6787720
68,7.40,/currencies/kyber-network,,172899159,Kyber Network,0.871729,KNC,20201110182739,30038653
69,5.56,/currencies/quant,,169534322,Quant,14.04,QNT,20201110182739,3783138
70,3.92,/currencies/near-protocol,,164634466,NEAR Protocol,0.941433,NEAR,20201110182739,21798848
71,20.49,/currencies/reserve-rights,,162954127,Reserve Rights,0.017428,RSR,20201110182739,130999317
72,6.65,/currencies/ampleforth,,160769894,Ampleforth,1.25,AMPL,20201110182739,4581284
73,4.70,/currencies/augur,,149924404,Augur,13.63,REP,20201110182739,9601850
74,15.13,/currencies/blockstack,,147973224,Blockstack,0.216304,STX,20201110182739,3547105
75,4.30,/currencies/lisk,,143942861,Lisk,1.14,LSK,20201110182739,3518521
76,8.13,/currencies/decentraland,,130858053,Decentraland,0.088185,MANA,20201110182739,79362223
77,1.93,/currencies/bitcoin-gold,,129676389,Bitcoin Gold,7.40,BTG,20201110182739,5120381
78,1.86,/currencies/the-midas-touch-gold,,129114565,The Midas Touch Gold,0.019694,TMTG,20201110182739,7075216
79,7.34,/currencies/band-protocol,,129123522,Band Protocol,6.30,BAND,20201110182739,107860025
80,5.74,/currencies/aragon,,128253666,Aragon,3.24,ANT,20201110182739,18609040
81,4.25,/currencies/siacoin,,121491313,Siacoin,0.002699,SC,20201110182739,1938620
82,1.02,/currencies/revain,,120542522,Revain,0.010496,REV,20201110182739,459313
83,3.60,/currencies/nxm,,119244232,NXM,22.81,NXM,20201110182739,14434066
84,3.44,/currencies/terra-luna,,118808508,Terra,0.307785,LUNA,20201110182739,3705277
85,0.65,/currencies/zb-token,,115895020,ZB Token,0.250157,ZB,20201110182739,7408601
86,3.83,/currencies/elrond-egld,,115654041,Elrond,8.44,EGLD,20201110182739,7376452
87,5.06,/currencies/enjin-coin,,115385597,Enjin Coin,0.140179,ENJ,20201110182739,7225299
88,12.30,/currencies/golem-network-tokens,,107044338,Golem,0.108052,GNT,20201110182739,40934736
89,13.05,/currencies/thorchain,,106862336,THORChain,0.674499,RUNE,20201110182739,12541178
90,12.36,/currencies/solana,,104707991,Solana,2.28,SOL,20201110182739,15990169
91,12.66,/currencies/sushiswap,,102270710,SushiSwap,0.677392,SUSHI,20201110182739,27604737
92,0.80,/currencies/dxchain-token,,99959082,DxChain Token,0.001999,DX,20201110182739,382023
93,0.64,/currencies/nano,,99629555,Nano,0.747699,NANO,20201110182739,5102003
94,3.09,/currencies/cybervein,,99660186,CyberVein,0.093983,CVT,20201110182739,5557953
95,6.19,/currencies/nexo,,99247538,Nexo,0.177228,NEXO,20201110182739,8684249
96,6.03,/currencies/ravencoin,,98315236,Ravencoin,0.013202,RVN,20201110182739,8327385
97,11.48,/currencies/status,,93899287,Status,0.027057,SNT,20201110182739,13998916
98,10.17,/currencies/swissborg,,89378019,SwissBorg,0.096788,CHSB,20201110182739,1390880
99,4.94,/currencies/avalanche,,87874741,Avalanche,3.59,AVAX,20201110182739,24338608
100,2.15,/currencies/numeraire,"<img class=""coin-logo"" src=""https://s2.coinmarketcap.com/static/img/coins/64x64/1732.png""/>",87456913,Numeraire,23.75,NMR,20201110182754,5172223
101,6.52,/currencies/orchid,"<img class=""coin-logo"" src=""https://s2.coinmarketcap.com/static/img/coins/64x64/5026.png""/>",86456875,Orchid,0.235203,OXT,20201110182754,9098599
102,2.00,/currencies/bitcoin-diamond,"<img class=""coin-logo"" src=""https://s2.coinmarketcap.com/static/img/coins/64x64/2222.png""/>",84714887,Bitcoin Diamond,0.454253,BCD,20201110182754,1837979
103,14.87,/currencies/balancer,"<img class=""coin-logo"" src=""https://s2.coinmarketcap.com/static/img/coins/64x64/5728.png""/>",84106786,Balancer,12.11,BAL,20201110182754,68937762
104,10.83,/currencies/matic-network,"<img class=""coin-logo"" src=""https://s2.coinmarketcap.com/static/img/coins/64x64/3890.png""/>",82527781,Matic Network,0.017346,MATIC,20201110182754,21047373
105,0.54,/currencies/monacoin,"<img class=""coin-logo"" src=""https://s2.coinmarketcap.com/static/img/coins/64x64/213.png""/>",82365507,MonaCoin,1.25,MONA,20201110182754,784935
106,0.30,/currencies/holo,"<img class=""coin-logo"" src=""https://s2.coinmarketcap.com/static/img/coins/64x64/2682.png""/>",80498017,Holo,0.000483,HOT,20201110182754,6321032
107,11.80,/currencies/rlc,"<img class=""coin-logo"" src=""https://s2.coinmarketcap.com/static/img/coins/64x64/1637.png""/>",80871605,iExec RLC,1.01,RLC,20201110182754,8868742
108,1.44,/currencies/bytom,"<img class=""coin-logo"" src=""https://s2.coinmarketcap.com/static/img/coins/64x64/1866.png""/>",80206652,Bytom,0.057869,BTM,20201110182754,7000394
109,9.42,/currencies/iotex,"<img class=""coin-logo"" src=""https://s2.coinmarketcap.com/static/img/coins/64x64/2777.png""/>",78684322,IoTeX,0.008108,IOTX,20201110182754,4617280
110,4.51,/currencies/iostoken,,78588156,IOST,0.005150,IOST,20201110182754,24592684
111,7.99,/currencies/arweave,,78787143,Arweave,2.36,AR,20201110182754,3098149
112,8.09,/currencies/swipe,,78454872,Swipe,1.02,SXP,20201110182754,51406552
113,2.20,/currencies/uquid-coin,,77139290,Uquid Coin,7.71,UQC,20201110182754,14478982
114,7.51,/currencies/verge,,77029379,Verge,0.004701,XVG,20201110182754,2520880
115,0.20,/currencies/pax-gold,,75881506,PAX Gold,1885.73,PAXG,20201110182754,1951874
116,6.82,/currencies/storj,,73944902,Storj,0.370634,STORJ,20201110182754,20452331
117,5.06,/currencies/velas,,73059721,Velas,0.034686,VLX,20201110182754,1263982
118,12.93,/currencies/horizen,,69671482,Horizen,6.73,ZEN,20201110182754,4088770
119,8.87,/currencies/civic,,69928055,Civic,0.104370,CVC,20201110182754,295716176
120,0.56,/currencies/kucoin-shares,,68056379,KuCoin Shares,0.843029,KCS,20201110182754,4827173
121,17.28,/currencies/yearn-finance-ii,,66329281,DFI.Money,1718.55,YFII,20201110182754,213735294
122,8.67,/currencies/nervos-network,,65582267,Nervos Network,0.003072,CKB,20201110182754,11318489
123,4.05,/currencies/divi,,64187686,Divi,0.032255,DIVI,20201110182754,305369
124,1.67,/currencies/gnosis-gno,,63553449,Gnosis,57.54,GNO,20201110182754,130333
125,23.49,/currencies/curve-dao-token,,63910319,Curve DAO Token,0.564275,CRV,20201110182754,45622059
126,0.43,/currencies/rsk-infrastructure-framework,,63489146,RSK Infrastructure Framework,0.095200,RIF,20201110182754,423217
127,6.26,/currencies/helium,,63200738,Helium,1.15,HNT,20201110182754,85081
128,32.12,/currencies/aelf,,63958207,aelf,0.117467,ELF,20201110182754,35314667
129,16.82,/currencies/serum,,60611298,Serum,1.21,SRM,20201110182754,41855636
130,6.70,/currencies/komodo,,59932162,Komodo,0.488441,KMD,20201110182754,2474369
131,4.91,/currencies/steem,,59531256,Steem,0.151202,STEEM,20201110182754,1621732
132,4.67,/currencies/maidsafecoin,,58953966,MaidSafeCoin,0.130270,MAID,20201110182754,196035
133,0.96,/currencies/utrust,,58059988,Utrust,0.129022,UTK,20201110182754,4036345
134,2.84,/currencies/bitshares,,57368584,BitShares,0.019139,BTS,20201110182754,6367578
135,3.11,/currencies/ardor,,56319701,Ardor,0.056376,ARDR,20201110182754,4743356
136,0.58,/currencies/unibright,,54712320,Unibright,0.367690,UBT,20201110182754,1287023
137,2.54,/currencies/chiliz,,53718912,Chiliz,0.010917,CHZ,20201110182754,8585661
138,8.30,/currencies/kava,,52725409,Kava.io,1.57,KAVA,20201110182754,17405406
139,6.82,/currencies/ankr,,52613411,Ankr,0.009025,ANKR,20201110182754,12641119
140,8.85,/currencies/bancor,,52152014,Bancor,0.736323,BNT,20201110182754,30366722
141,8.11,/currencies/stratis,,52735411,Stratis,0.527199,STRAT,20201110182754,14506004
142,7.98,/currencies/wax,,51792308,WAX,0.036939,WAXP,20201110182754,1087192
143,9.19,/currencies/origintrail,,50047118,OriginTrail,0.151269,TRAC,20201110182754,3260440
144,8.85,/currencies/irisnet,,49655271,IRISnet,0.057341,IRIS,20201110182754,3961942
145,4.22,/currencies/hive-blockchain,,48649994,Hive,0.117223,HIVE,20201110182754,2667110
146,8.62,/currencies/energi,,48599239,Energi,1.41,NRG,20201110182754,1968659
147,9.98,/currencies/wanchain,,47417465,Wanchain,0.280893,WAN,20201110182754,2183977
148,6.33,/currencies/tomochain,,47020547,TomoChain,0.618841,TOMO,20201110182754,4868723
149,13.19,/currencies/sharetoken,,46444581,ShareToken,0.023527,SHR,20201110182754,5144726
150,9.41,/currencies/quarkchain,,45994949,QuarkChain,0.005056,QKC,20201110182754,4183068
151,2.17,/currencies/just,,45620681,JUST,0.020183,JST,20201110182754,33674312
152,5.29,/currencies/ark,,45352731,Ark,0.362645,ARK,20201110182754,5049973
153,1.64,/currencies/theta-fuel,,44243515,Theta Fuel,0.008915,TFUEL,20201110182754,861074
154,12.56,/currencies/fantom,,44118822,Fantom,0.020663,FTM,20201110182754,10670169
155,3.59,/currencies/singularitynet,,43797269,SingularityNET,0.052055,AGI,20201110182754,1180476
156,3.49,/currencies/electroneum,,42644181,Electroneum,0.004178,ETN,20201110182754,870405
157,10.58,/currencies/power-ledger,,40266719,Power Ledger,0.094970,POWR,20201110182754,4318754
158,0.09,/currencies/hxro,,39319772,Hxro,0.219479,HXRO,20201110182754,174238
159,2.49,/currencies/pundi-x,,38951443,Pundi X,0.000166,NPXS,20201110182754,1585554
160,2.30,/currencies/hypercash,,38985192,HyperCash,0.868762,HC,20201110182754,7797027
161,19.39,/currencies/waykichain,,38080647,WaykiChain,0.201485,WICC,20201110182754,8333623
162,11.14,/currencies/tellor,,38446081,Tellor,24.86,TRB,20201110182754,40486040
163,1.29,/currencies/hyperion,,38188476,Hyperion,0.120557,HYN,20201110182754,72987
164,0.42,/currencies/stasis-euro,,37783139,STASIS EURO,1.18,EURS,20201110182754,2480074
165,0.45,/currencies/zcoin,,37200124,Zcoin,3.32,XZC,20201110182754,5195402
166,0.64,/currencies/sun,,36208374,SUN,7.90,SUN,20201110182754,39969885
167,31.83,/currencies/loom-network,,33812014,Loom Network,0.034839,LOOM,20201110182754,115522700
168,12.06,/currencies/aion,,35067186,Aion,0.073384,AION,20201110182754,3508439
169,5.43,/currencies/solve,,34954481,SOLVE,0.093050,SOLVE,20201110182754,1289540
170,10.98,/currencies/fetch,,34698324,Fetch.ai,0.046505,FET,20201110182754,5381739
171,7.33,/currencies/aeternity,,34374476,Aeternity,0.105865,AE,20201110182754,10602607
172,4.59,/currencies/voyager-token,,34012330,Voyager Token,0.153005,VGX,20201110182754,768966
173,9.48,/currencies/dia,,33972048,DIA,1.20,DIA,20201110182754,14991486
174,4.55,/currencies/v-systems,,33425051,v.systems,0.015674,VSYS,20201110182754,1966051
175,1.55,/currencies/travala,,33247581,Travala.com,0.798893,AVA,20201110182754,1385400
176,2.33,/currencies/harmony,,33168112,Harmony,0.005302,ONE,20201110182754,5072158
177,0.86,/currencies/polymath-network,,33073875,Polymath,0.061820,POLY,20201110182754,28999198
178,0.41,/currencies/super-zero-protocol,,32718588,Super Zero Protocol,0.110351,SERO,20201110182754,2822249
179,0.30,/currencies/gatetoken,,32148811,GateToken,0.422091,GT,20201110182754,11399197
180,23.37,/currencies/district0x,,31222041,district0x,0.052037,DNT,20201110182754,30369153
181,4.03,/currencies/xdai,,31849862,xDai,9.99,STAKE,20201110182754,1118293
182,3.85,/currencies/streamr,,31624438,Streamr,0.045662,DATA,20201110182754,3790601
183,2.86,/currencies/switcheo,,30732113,Switcheo,0.028843,SWTH,20201110182754,239207
184,0.87,/currencies/digitex-futures,,30564675,Digitex Futures,0.032829,DGTX,20201110182754,2804569
185,7.50,/currencies/nexalt,,32816468,Nexalt,1.68,XLT,20201110182754,293504
186,0.65,/currencies/orbs,,29049031,Orbs,0.013027,ORBS,20201110182754,180441
187,3.80,/currencies/flexacoin,,28460366,Flexacoin,0.003913,FXC,20201110182754,218496
188,0.09,/currencies/wink-tronbet,,28273405,WINk,0.000090,WIN,20201110182754,4318548
189,4.33,/currencies/adx-net,,27871370,AdEx Network,0.272795,ADX,20201110182754,2430256
190,2.33,/currencies/ultra,,27788522,Ultra,0.098373,UOS,20201110182754,480970
191,14.67,/currencies/syscoin,,27682850,Syscoin,0.046152,SYS,20201110182754,1427466
192,1.56,/currencies/wirex-token,,27738216,Wirex Token,0.008946,WXT,20201110182754,893218
193,17.47,/currencies/kleros,,27726360,Kleros,0.048658,PNK,20201110182754,2788199
194,3.63,/currencies/handshake,,27532431,Handshake ,0.085832,HNS,20201110182754,478029
195,7.07,/currencies/funfair,,27482148,FunFair,0.004196,FUN,20201110182754,495879
196,2.28,/currencies/thunder-token,,27412368,Thunder Token,0.004656,TT,20201110182754,3975073
197,7.59,/currencies/mxc,,26492321,MXC,0.010386,MXC,20201110182754,3151120
198,38.27,/currencies/origin-protocol,,25986288,Origin Protocol,0.171440,OGN,20201110182754,26378443
199,5.98,/currencies/request,,25971126,Request,0.025972,REQ,20201110182754,4780261
200,7.02,/currencies/hex,"<img class=""coin-logo"" src=""https://s2.coinmarketcap.com/static/img/coins/64x64/5015.png""/>",3193181685,HEX,0.007805,HEX,20201110182810,10310963
201,1.57,/currencies/ize,"<img class=""coin-logo"" src=""https://s2.coinmarketcap.com/static/img/coins/64x64/5677.png""/>",1617976747,IZE,0.388854,IZE,20201110182810,51127
202,0.15,/currencies/counos-x,"<img class=""coin-logo"" src=""https://s2.coinmarketcap.com/static/img/coins/64x64/5482.png""/>",1070139179,Counos X,60.35,CCXX,20201110182810,450243
203,9.61,/currencies/bitcoinpos,"<img class=""coin-logo"" src=""https://s2.coinmarketcap.com/static/img/coins/64x64/5815.png""/>",643602975,BitcoinPoS,169.89,BPS,20201110182810,1385112
204,2.61,/currencies/ino-coin,"<img class=""coin-logo"" src=""https://s2.coinmarketcap.com/static/img/coins/64x64/3085.png""/>",586291963,INO COIN,3.26,INO,20201110182810,499553
205,0.47,/currencies/insight-chain,"<img class=""coin-logo"" src=""https://s2.coinmarketcap.com/static/img/coins/64x64/3116.png""/>",433186263,Insight Chain,1.24,INB,20201110182810,2499142
206,1.24,/currencies/homeros,"<img class=""coin-logo"" src=""https://s2.coinmarketcap.com/static/img/coins/64x64/5336.png""/>",329061010,Homeros,0.875270,HMR,20201110182810,14698693
207,1.08,/currencies/zelwin,"<img class=""coin-logo"" src=""https://s2.coinmarketcap.com/static/img/coins/64x64/5614.png""/>",308225236,Zelwin,5.11,ZLW,20201110182810,572580
208,0.23,/currencies/renbtc,"<img class=""coin-logo"" src=""https://s2.coinmarketcap.com/static/img/coins/64x64/5777.png""/>",293767104,renBTC,15343.97,RENBTC,20201110182810,268314
209,6.78,/currencies/creditcoin,"<img class=""coin-logo"" src=""https://s2.coinmarketcap.com/static/img/coins/64x64/5198.png""/>",287551855,Creditcoin,0.522609,CTC,20201110182810,3194122
210,0.61,/currencies/cipher-core-token,,260845219,Cipher Core Token,35.10,CIPHC,20201110182810,122580
211,1.03,/currencies/tnc-coin,,259641507,TNC Coin,0.112378,TNC,20201110182810,9687875
212,0.41,/currencies/thorecoin,,258818146,ThoreCoin,2985.70,THR,20201110182810,32520
213,1.58,/currencies/basid-coin,,253434363,Basid Coin,0.706403,BASID,20201110182810,2226255
214,19.91,/currencies/poseidon-network,,238395271,Poseidon Network,0.110733,QQQ,20201110182810,1852776
215,18.03,/currencies/mindol,,213379676,MINDOL,1.25,MIN,20201110182810,74229
216,3.65,/currencies/botxcoin,,179909685,botXcoin,0.110232,BOTX,20201110182810,136734
217,32.21,/currencies/strong,,178533907,Strong,37.89,STRONG,20201110182810,1818224
218,0.20,/currencies/largo-coin,,172138068,Largo Coin,10.03,LRG,20201110182810,1623817
219,0.34,/currencies/vitae,,146634458,Vitae,7.53,VITAE,20201110182810,1255213
220,2.15,/currencies/sologenic,,144363433,Sologenic,0.721811,SOLO,20201110182810,1855592
221,0.58,/currencies/doctors-coin,,135896184,Doctors Coin,0.591518,DRS,20201110182810,10479
222,49.71,/currencies/bitball-treasure,,133750766,Bitball Treasure,297.22,BTRS,20201110182810,44
223,2.49,/currencies/yusra,,127742409,YUSRA,3.70,YUSRA,20201110182810,98112
224,0.60,/currencies/idea-chain-coin,,111920824,Idea Chain Coin,2.18,ICH,20201110182810,417140
225,0.23,/currencies/terra-krw,,107941391,TerraKRW,0.000886,KRT,20201110182810,7791
226,9.37,/currencies/metacoin,,105605889,Metacoin,0.102791,MTC,20201110182810,136902
227,0.76,/currencies/cryptonex,,105263628,Cryptonex,1.89,CNX,20201110182810,819285
228,0.88,/currencies/defichain,,102321876,DeFiChain,0.268082,DFI,20201110182810,591590
229,11.79,/currencies/edc-blockchain-v1,,101870746,EDC Blockchain v1 [old],0.038145,EDC,20201110182810,90861
230,1.07,/currencies/stpay,,93750008,STPAY,21.65,STP,20201110182810,989
231,1.17,/currencies/bitcoin-bep2,,93171191,Bitcoin BEP2,18630.32,BTCB,20201110182810,9449
232,0.24,/currencies/helper-search-token,,88001882,Helper Search Token,0.010378,HSN,20201110182810,0
233,1.73,/currencies/newyork-exchange,,82583170,NewYork Exchange,11.65,NYE,20201110182810,320574
234,4.82,/currencies/beldex,,81435232,Beldex,0.083078,BDX,20201110182810,265715
235,0.04,/currencies/counos-coin,,80518196,Counos Coin,5.42,CCA,20201110182810,19372
236,0.05,/currencies/qcash,,70652461,Qcash,0.153592,QC,20201110182810,273741140
237,0.33,/currencies/mixin,,69628949,Mixin,132.84,XIN,20201110182810,1009086
238,0.56,/currencies/bitbook-gambling,,68109607,Bitbook Gambling,0.190417,BXK,20201110182810,21935
239,3.32,/currencies/xinfin-network,,68101913,XinFin Network,0.005583,XDC,20201110182810,1998636
240,0.66,/currencies/attila,,67250061,Attila,0.149318,ATT,20201110182810,407353
241,3.55,/currencies/nest-protocol,,64171598,NEST Protocol,0.036695,NEST,20201110182810,30238767
242,0.33,/currencies/mobilian-coin,,63992848,Mobilian Coin,0.553939,MBN,20201110182810,2152054
243,8.15,/currencies/baer-chain,,63963428,Baer Chain,0.367606,BRC,20201110182810,3654
244,1.46,/currencies/huobi-btc,,62616705,Huobi BTC,13017.58,HBTC,20201110182810,0
245,15.19,/currencies/everus,,61116383,Everus,0.131214,EVR,20201110182810,64825
246,0.02,/currencies/neutrino-usd,,61000729,Neutrino USD,0.995299,USDN,20201110182810,2975000
247,1.77,/currencies/centrality,,59148306,Centrality,0.050057,CENNZ,20201110182810,947730
248,0.41,/currencies/joule,,58823888,Joule,0.058213,JUL,20201110182810,0
249,0.71,/currencies/wbnb,,55249895,Wrapped BNB,28.18,WBNB,20201110182810,0
250,0.06,/currencies/math,,54708664,MATH,0.480825,MATH,20201110182810,318427
251,2.95,/currencies/darma-cash,,54452692,Darma Cash,0.258803,DMCH,20201110182810,302449
252,8.65,/currencies/greenpower,,53467333,GreenPower,0.016545,GRN,20201110182810,1108
253,5.38,/currencies/bithao,,51487646,Bithao,1.60,BHAO,20201110182810,20427579
254,0.14,/currencies/mimblewimblecoin,,51051195,MimbleWimbleCoin,4.79,MWC,20201110182810,465942
255,6.84,/currencies/whitecoin,,46316133,WhiteCoin,0.185129,XWC,20201110182810,52024
256,13.54,/currencies/keep-network,,46333770,Keep Network,0.213600,KEEP,20201110182810,791580
257,0.52,/currencies/axel,,44906812,AXEL,0.171937,AXEL,20201110182810,388347
258,0.69,/currencies/breezecoin,,44474369,Breezecoin,0.444744,BRZE,20201110182810,25232
259,10.50,/currencies/tap,,43964280,Tap,0.035688,XTP,20201110182810,229552
260,21.43,/currencies/bankera,,41481498,Bankera,0.001685,BNK,20201110182810,49912
261,7.71,/currencies/nervenetwork,,40040256,NerveNetwork,0.158694,NVT,20201110182810,568537
262,3.05,/currencies/rocket-pool,,40019831,Rocket Pool,3.89,RPL,20201110182810,1339825
263,28.37,/currencies/titanswap,,39320888,TitanSwap,0.736289,TITAN,20201110182810,8159824
264,0.12,/currencies/xenioscoin,,38443055,XeniosCoin,0.504006,XNC,20201110182810,82317
265,2.94,/currencies/btu-protocol,,38205629,BTU Protocol,0.424439,BTU,20201110182810,81442
266,12.68,/currencies/cryptoindex-com-100,,37476932,Cryptoindex.com 100,0.600501,CIX100,20201110182810,23595
267,1.31,/currencies/cvault-finance,,36554355,cVault.finance,3655.44,CORE,20201110182810,4647675
268,0.16,/currencies/mstable-usd,,36505022,mStable USD,0.999481,MUSD,20201110182810,735890
269,8.28,/currencies/kin,,34690567,Kin,0.000023,KIN,20201110182810,24493
